Faculty,Department,Level,Semester,Course Code,Course Title,Unit,Course Type,Prerequisite,Interest Area
Faculty of Computing and Sciences,Industrial Chemistry,100,First Semester,MTH101,Elementary Mathematics I,3,Compulsory,None,Mathematics
Faculty of Computing and Sciences,Industrial Chemistry,100,First Semester,PHY101,General Physics I,3,Compulsory,None,Physics
Faculty of Computing and Sciences,Industrial Chemistry,100,First Semester,BIO101,General Biology I,2,Compulsory,None,Biology
Faculty of Computing and Sciences,Industrial Chemistry,100,First Semester,GST101,Use of English I,2,Compulsory,None,General Studies
Faculty of Computing and Sciences,Industrial Chemistry,100,First Semester,GST103,Nigerian Peoples and Culture,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Industrial Chemistry,100,Second Semester,ICH102,Organic Chemistry I,3,Compulsory,ICH101,Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,100,Second Semester,ICH104,Chemistry Practical II,1,Compulsory,ICH103,Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,100,Second Semester,MTH102,Elementary Mathematics II,3,Compulsory,MTH101,Mathematics
Faculty of Computing and Sciences,Industrial Chemistry,100,Second Semester,PHY102,General Physics II,3,Compulsory,PHY101,Physics
Faculty of Computing and Sciences,Industrial Chemistry,100,Second Semester,BIO102,General Biology II,2,Compulsory,BIO101,Biology
Faculty of Computing and Sciences,Industrial Chemistry,100,Second Semester,GST102,Use of English II,2,Compulsory,GST101,General Studies
Faculty of Computing and Sciences,Industrial Chemistry,100,Second Semester,GST104,Logic Philosophy and Human Existence,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Industrial Chemistry,200,First Semester,ICH201,Physical Chemistry,3,Compulsory,ICH102,Industrial Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,200,First Semester,ICH203,Inorganic Chemistry,3,Compulsory,ICH101,Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,200,First Semester,ICH205,Quantitative Analysis,3,Compulsory,ICH101,Analytical Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,200,First Semester,ICH207,Chemistry Practical III,1,Compulsory,ICH104,Chemistry Practical
Faculty of Computing and Sciences,Industrial Chemistry,200,First Semester,BCH201,Basic Biochemistry,2,Compulsory,None,Biochemistry
Faculty of Computing and Sciences,Industrial Chemistry,200,First Semester,STA201,Statistical Methods,2,Compulsory,None,Statistics
Faculty of Computing and Sciences,Industrial Chemistry,200,First Semester,GST201,Entrepreneurship Studies I,2,Compulsory,None,Entrepreneurship

Faculty of Computing and Sciences,Industrial Chemistry,200,Second Semester,ICH202,Analytical Chemistry,3,Compulsory,ICH201,Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,200,Second Semester,ICH204,Organic Chemistry II,3,Compulsory,ICH102,Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,200,Second Semester,ICH206,Instrumental Analysis,3,Compulsory,ICH205,Instrumentation
Faculty of Computing and Sciences,Industrial Chemistry,200,Second Semester,ICH208,Chemical Thermodynamics,3,Compulsory,ICH201,Physical Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,200,Second Semester,ICH210,Chemistry Practical IV,1,Compulsory,ICH207,Chemistry Practical
Faculty of Computing and Sciences,Industrial Chemistry,200,Second Semester,ICH212,Environmental Chemistry,2,Compulsory,ICH202,Environmental Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,200,Second Semester,GST202,Entrepreneurship Studies II,2,Compulsory,GST201,Entrepreneurship

Faculty of Computing and Sciences,Industrial Chemistry,300,First Semester,ICH301,Industrial Chemical Processes,3,Compulsory,ICH201,Industrial Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,300,First Semester,ICH303,Environmental Chemistry,3,Compulsory,ICH202,Environmental Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,300,First Semester,ICH305,Chemical Kinetics,3,Compulsory,ICH208,Physical Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,300,First Semester,ICH307,Industrial Safety and Hazard Management,2,Compulsory,None,Industrial Safety
Faculty of Computing and Sciences,Industrial Chemistry,300,First Semester,ICH309,Research Methods in Chemistry,2,Compulsory,None,Research
Faculty of Computing and Sciences,Industrial Chemistry,300,First Semester,ICH311,Chemistry Practical V,1,Compulsory,ICH210,Chemistry Practical
Faculty of Computing and Sciences,Industrial Chemistry,300,First Semester,ICH313,Process Control in Chemical Industry,3,Compulsory,ICH301,Industrial Chemistry

Faculty of Computing and Sciences,Industrial Chemistry,300,Second Semester,ICH302,Petroleum Chemistry,3,Compulsory,ICH301,Industrial Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,300,Second Semester,ICH304,Industrial Quality Control,3,Compulsory,ICH206,Quality Control
Faculty of Computing and Sciences,Industrial Chemistry,300,Second Semester,ICH306,Corrosion and Materials Chemistry,3,Compulsory,ICH203,Materials Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,300,Second Semester,ICH308,Industrial Instrumentation,3,Compulsory,ICH206,Instrumentation
Faculty of Computing and Sciences,Industrial Chemistry,300,Second Semester,ICH310,Industrial Training Seminar,1,Compulsory,None,Industrial Training
Faculty of Computing and Sciences,Industrial Chemistry,300,Second Semester,ICH312,Chemistry Practical VI,1,Compulsory,ICH311,Chemistry Practical
Faculty of Computing and Sciences,Industrial Chemistry,300,Second Semester,ICH314,Industrial Raw Materials and Products,3,Compulsory,ICH301,Industrial Chemistry

Faculty of Computing and Sciences,Industrial Chemistry,400,First Semester,ICH401,Polymer Chemistry,3,Elective,ICH301,Industrial Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,400,First Semester,ICH403,Petrochemical Technology,3,Compulsory,ICH302,Petroleum Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,400,First Semester,ICH405,Food and Industrial Chemistry,3,Compulsory,ICH301,Industrial Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,400,First Semester,ICH407,Industrial Waste Management,3,Compulsory,ICH303,Environmental Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,400,First Semester,ICH409,Professional Ethics in Chemistry,2,Compulsory,None,Professional Ethics
Faculty of Computing and Sciences,Industrial Chemistry,400,First Semester,ICH411,Chemistry Seminar,2,Compulsory,ICH309,Research
Faculty of Computing and Sciences,Industrial Chemistry,400,First Semester,ICH413,Industrial Attachment Report,2,Compulsory,None,Industrial Training

Faculty of Computing and Sciences,Industrial Chemistry,400,Second Semester,ICH402,Industrial Chemistry Project,6,Compulsory,ICH401,Research
Faculty of Computing and Sciences,Industrial Chemistry,400,Second Semester,ICH404,Advanced Polymer Technology,3,Elective,ICH401,Polymer Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,400,Second Semester,ICH406,Industrial Attachment Report and Seminar,2,Compulsory,None,Industrial Training
Faculty of Computing and Sciences,Industrial Chemistry,400,Second Semester,ICH408,Special Topics in Industrial Chemistry,2,Elective,ICH301,Industrial Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,400,Second Semester,ICH410,Current Trends in Industrial Chemistry,2,Elective,ICH301,Industrial Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,400,Second Semester,ICH412,Project Defense and Presentation,2,Compulsory,ICH402,Research
Faculty of Computing and Sciences,Industrial Chemistry,400,Second Semester,ICH414,Chemical Process Design and Optimization,3,Compulsory,ICH301,Industrial Chemistry

Faculty of Computing and Sciences,Biotechnology,100,First Semester,BTY101,General Biology,3,Compulsory,None,Biology
Faculty of Computing and Sciences,Biotechnology,100,First Semester,BTY103,Biology Practical I,1,Compulsory,None,Biology
Faculty of Computing and Sciences,Biotechnology,100,First Semester,CHM101,General Chemistry I,3,Compulsory,None,Chemistry
Faculty of Computing and Sciences,Biotechnology,100,First Semester,MTH101,Elementary Mathematics I,3,Compulsory,None,Mathematics
Faculty of Computing and Sciences,Biotechnology,100,First Semester,PHY101,General Physics I,3,Compulsory,None,Physics
Faculty of Computing and Sciences,Biotechnology,100,First Semester,GST101,Use of English I,2,Compulsory,None,General Studies
Faculty of Computing and Sciences,Biotechnology,100,First Semester,GST103,Nigerian Peoples and Culture,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Biotechnology,100,Second Semester,BTY102,Introduction to Biotechnology,3,Compulsory,BTY101,Biotechnology
Faculty of Computing and Sciences,Biotechnology,100,Second Semester,BTY104,Biology Practical II,1,Compulsory,BTY103,Biology
Faculty of Computing and Sciences,Biotechnology,100,Second Semester,CHM102,General Chemistry II,3,Compulsory,CHM101,Chemistry
Faculty of Computing and Sciences,Biotechnology,100,Second Semester,MTH102,Elementary Mathematics II,3,Compulsory,MTH101,Mathematics
Faculty of Computing and Sciences,Biotechnology,100,Second Semester,PHY102,General Physics II,3,Compulsory,PHY101,Physics
Faculty of Computing and Sciences,Biotechnology,100,Second Semester,GST102,Use of English II,2,Compulsory,GST101,General Studies
Faculty of Computing and Sciences,Biotechnology,100,Second Semester,GST104,Logic Philosophy and Human Existence,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Biotechnology,200,First Semester,BTY201,Cell Biology,3,Compulsory,BTY102,Biotechnology
Faculty of Computing and Sciences,Biotechnology,200,First Semester,BTY203,Genetics,3,Compulsory,BTY101,Genetics
Faculty of Computing and Sciences,Biotechnology,200,First Semester,BTY205,Biochemistry I,3,Compulsory,CHM102,Biochemistry
Faculty of Computing and Sciences,Biotechnology,200,First Semester,BTY207,Bioinformatics Fundamentals,2,Compulsory,None,Bioinformatics
Faculty of Computing and Sciences,Biotechnology,200,First Semester,BTY209,Biotechnology Laboratory I,1,Compulsory,BTY104,Biotechnology
Faculty of Computing and Sciences,Biotechnology,200,First Semester,STA201,Statistical Methods,2,Compulsory,None,Statistics
Faculty of Computing and Sciences,Biotechnology,200,First Semester,GST201,Entrepreneurship Studies I,2,Compulsory,None,Entrepreneurship

Faculty of Computing and Sciences,Biotechnology,200,Second Semester,BTY202,Microbiology,3,Compulsory,BTY201,Microbiology
Faculty of Computing and Sciences,Biotechnology,200,Second Semester,BTY204,Plant Biotechnology,3,Compulsory,BTY102,Biotechnology
Faculty of Computing and Sciences,Biotechnology,200,Second Semester,BTY206,Biochemistry II,3,Compulsory,BTY205,Biochemistry
Faculty of Computing and Sciences,Biotechnology,200,Second Semester,BTY208,Microbial Techniques and Laboratory Methods,2,Compulsory,BTY202,Microbiology
Faculty of Computing and Sciences,Biotechnology,200,Second Semester,BTY210,Biotechnology Laboratory II,1,Compulsory,BTY209,Biotechnology
Faculty of Computing and Sciences,Biotechnology,200,Second Semester,BTY212,Applied Ecology and Environmental Biology,3,Compulsory,BTY201,Environmental Biotechnology
Faculty of Computing and Sciences,Biotechnology,200,Second Semester,GST202,Entrepreneurship Studies II,2,Compulsory,GST201,Entrepreneurship

Faculty of Computing and Sciences,Biotechnology,300,First Semester,BTY301,Genetic Engineering,3,Compulsory,BTY201,Genetics
Faculty of Computing and Sciences,Biotechnology,300,First Semester,BTY303,Immunology,3,Compulsory,BTY202,Immunology
Faculty of Computing and Sciences,Biotechnology,300,First Semester,BTY305,Microbial Genetics,3,Compulsory,BTY203,Genetics
Faculty of Computing and Sciences,Biotechnology,300,First Semester,BTY307,Research Methods in Biotechnology,2,Compulsory,None,Research
Faculty of Computing and Sciences,Biotechnology,300,First Semester,BTY309,Industrial Training Seminar,1,Compulsory,None,Industrial Training
Faculty of Computing and Sciences,Biotechnology,300,First Semester,BTY311,Biotechnology Laboratory III,1,Compulsory,BTY210,Biotechnology
Faculty of Computing and Sciences,Biotechnology,300,First Semester,BTY313,Enzyme Technology,3,Compulsory,BTY205,Biotechnology

Faculty of Computing and Sciences,Biotechnology,300,Second Semester,BTY302,Molecular Biology,3,Compulsory,BTY301,Molecular Biology
Faculty of Computing and Sciences,Biotechnology,300,Second Semester,BTY304,Recombinant DNA Technology,3,Compulsory,BTY301,Genetic Engineering
Faculty of Computing and Sciences,Biotechnology,300,Second Semester,BTY306,Environmental Biotechnology,3,Compulsory,BTY202,Environmental Biotechnology
Faculty of Computing and Sciences,Biotechnology,300,Second Semester,BTY308,Bioprocess Technology,3,Compulsory,BTY205,Bioprocess Technology
Faculty of Computing and Sciences,Biotechnology,300,Second Semester,BTY310,Biostatistics,2,Compulsory,BTY207,Biostatistics
Faculty of Computing and Sciences,Biotechnology,300,Second Semester,BTY312,Biotechnology Laboratory IV,1,Compulsory,BTY311,Biotechnology
Faculty of Computing and Sciences,Biotechnology,300,Second Semester,BTY314,Fermentation Technology,3,Compulsory,BTY308,Bioprocess Technology

Faculty of Computing and Sciences,Biotechnology,400,First Semester,BTY401,Industrial Biotechnology,3,Elective,BTY301,Biotechnology
Faculty of Computing and Sciences,Biotechnology,400,First Semester,BTY403,Medical Biotechnology,3,Compulsory,BTY302,Medical Biotechnology
Faculty of Computing and Sciences,Biotechnology,400,First Semester,BTY405,Agricultural Biotechnology,3,Compulsory,BTY304,Agricultural Biotechnology
Faculty of Computing and Sciences,Biotechnology,400,First Semester,BTY407,Bioethics and Biosafety,2,Compulsory,None,Bioethics
Faculty of Computing and Sciences,Biotechnology,400,First Semester,BTY409,Entrepreneurship in Biotechnology,2,Compulsory,None,Entrepreneurship
Faculty of Computing and Sciences,Biotechnology,400,First Semester,BTY411,Biotechnology Seminar,2,Compulsory,BTY307,Research
Faculty of Computing and Sciences,Biotechnology,400,First Semester,BTY413,Industrial Attachment Report,2,Compulsory,None,Industrial Training

Faculty of Computing and Sciences,Biotechnology,400,Second Semester,BTY402,Biotechnology Project,6,Compulsory,BTY307,Research
Faculty of Computing and Sciences,Biotechnology,400,Second Semester,BTY404,Advanced Molecular Biotechnology,3,Elective,BTY302,Molecular Biology
Faculty of Computing and Sciences,Biotechnology,400,Second Semester,BTY406,Industrial Attachment Report and Seminar,2,Compulsory,None,Industrial Training
Faculty of Computing and Sciences,Biotechnology,400,Second Semester,BTY408,Current Trends in Biotechnology,2,Elective,BTY401,Biotechnology
Faculty of Computing and Sciences,Biotechnology,400,Second Semester,BTY410,Special Topics in Biotechnology,2,Elective,BTY302,Biotechnology
Faculty of Computing and Sciences,Biotechnology,400,Second Semester,BTY412,Project Defense and Presentation,2,Compulsory,BTY402,Research
Faculty of Computing and Sciences,Biotechnology,400,Second Semester,BTY414,Biotechnology Innovation and Product Development,3,Elective,BTY401,Biotechnology


Faculty of Management and Social Sciences,Business Administration,100,First Semester,BUS101,Introduction to Business,3,Compulsory,None,Management
Faculty of Management and Social Sciences,Business Administration,100,First Semester,ECO101,Principles of Economics,3,Compulsory,None,Economics
Faculty of Management and Social Sciences,Business Administration,100,First Semester,ACC101,Principles of Accounting I,3,Compulsory,None,Accounting
Faculty of Management and Social Sciences,Business Administration,100,First Semester,MTH101,Business Mathematics I,3,Compulsory,None,Mathematics
Faculty of Management and Social Sciences,Business Administration,100,First Semester,BUS103,Introduction to Entrepreneurship,2,Compulsory,None,Entrepreneurship
Faculty of Management and Social Sciences,Business Administration,100,First Semester,GST101,Use of English I,2,Compulsory,None,General Studies
Faculty of Management and Social Sciences,Business Administration,100,First Semester,GST103,Nigerian Peoples and Culture,2,Compulsory,None,General Studies

Faculty of Management and Social Sciences,Business Administration,100,Second Semester,BUS102,Business Communication,3,Compulsory,None,Management
Faculty of Management and Social Sciences,Business Administration,100,Second Semester,ECO102,Microeconomics,3,Compulsory,ECO101,Economics
Faculty of Management and Social Sciences,Business Administration,100,Second Semester,ACC102,Principles of Accounting II,3,Compulsory,ACC101,Accounting
Faculty of Management and Social Sciences,Business Administration,100,Second Semester,MTH102,Business Mathematics II,3,Compulsory,MTH101,Mathematics
Faculty of Management and Social Sciences,Business Administration,100,Second Semester,BUS104,Introduction to Management,2,Compulsory,BUS101,Management
Faculty of Management and Social Sciences,Business Administration,100,Second Semester,GST102,Use of English II,2,Compulsory,GST101,General Studies
Faculty of Management and Social Sciences,Business Administration,100,Second Semester,GST104,Logic Philosophy and Human Existence,2,Compulsory,None,General Studies

Faculty of Management and Social Sciences,Business Administration,200,First Semester,BUS201,Principles of Management,3,Compulsory,BUS101,Management
Faculty of Management and Social Sciences,Business Administration,200,First Semester,BUS203,Business Statistics,3,Compulsory,MTH102,Statistics
Faculty of Management and Social Sciences,Business Administration,200,First Semester,BUS205,Business Law,3,Compulsory,BUS101,Business Law
Faculty of Management and Social Sciences,Business Administration,200,First Semester,BUS207,Marketing Principles,3,Compulsory,BUS101,Marketing
Faculty of Management and Social Sciences,Business Administration,200,First Semester,BUS209,Office Management,2,Compulsory,BUS104,Management
Faculty of Management and Social Sciences,Business Administration,200,First Semester,ACC201,Financial Accounting,3,Compulsory,ACC102,Accounting
Faculty of Management and Social Sciences,Business Administration,200,First Semester,GST201,Entrepreneurship Studies I,2,Compulsory,None,Entrepreneurship

Faculty of Management and Social Sciences,Business Administration,200,Second Semester,BUS202,Organizational Behaviour,3,Compulsory,BUS201,Management
Faculty of Management and Social Sciences,Business Administration,200,Second Semester,BUS204,Business Finance,3,Compulsory,ACC102,Finance
Faculty of Management and Social Sciences,Business Administration,200,Second Semester,BUS206,Management Information Systems,3,Compulsory,BUS201,Information Systems
Faculty of Management and Social Sciences,Business Administration,200,Second Semester,BUS208,Consumer Behaviour,3,Compulsory,BUS207,Marketing
Faculty of Management and Social Sciences,Business Administration,200,Second Semester,BUS210,Business Research Methods,2,Compulsory,BUS203,Research
Faculty of Management and Social Sciences,Business Administration,200,Second Semester,ACC202,Management Accounting,3,Compulsory,ACC201,Accounting
Faculty of Management and Social Sciences,Business Administration,200,Second Semester,GST202,Entrepreneurship Studies II,2,Compulsory,GST201,Entrepreneurship

Faculty of Management and Social Sciences,Business Administration,300,First Semester,BUS301,Human Resource Management,3,Compulsory,BUS201,Management
Faculty of Management and Social Sciences,Business Administration,300,First Semester,BUS303,Production and Operations Management,3,Compulsory,BUS201,Operations Management
Faculty of Management and Social Sciences,Business Administration,300,First Semester,BUS305,International Business,3,Compulsory,BUS201,International Business
Faculty of Management and Social Sciences,Business Administration,300,First Semester,BUS307,Research Methods in Business,2,Compulsory,None,Research
Faculty of Management and Social Sciences,Business Administration,300,First Semester,BUS309,Small Business Management,2,Compulsory,BUS201,Entrepreneurship
Faculty of Management and Social Sciences,Business Administration,300,First Semester,BUS311,Management Theory,3,Compulsory,BUS201,Management
Faculty of Management and Social Sciences,Business Administration,300,First Semester,BUS313,Business Data Analysis,2,Compulsory,BUS203,Statistics

Faculty of Management and Social Sciences,Business Administration,300,Second Semester,BUS302,Entrepreneurship Development,3,Compulsory,BUS301,Entrepreneurship
Faculty of Management and Social Sciences,Business Administration,300,Second Semester,BUS304,Business Policy Analysis,3,Compulsory,BUS201,Management
Faculty of Management and Social Sciences,Business Administration,300,Second Semester,BUS306,Project Management,3,Compulsory,BUS201,Project Management
Faculty of Management and Social Sciences,Business Administration,300,Second Semester,BUS308,Industrial Relations,3,Compulsory,BUS301,Human Resource Management
Faculty of Management and Social Sciences,Business Administration,300,Second Semester,BUS310,Industrial Training Seminar,1,Compulsory,None,Industrial Training
Faculty of Management and Social Sciences,Business Administration,300,Second Semester,BUS312,Public Relations Management,2,Compulsory,BUS201,Management
Faculty of Management and Social Sciences,Business Administration,300,Second Semester,BUS314,Corporate Communication,2,Compulsory,BUS102,Communication

Faculty of Management and Social Sciences,Business Administration,400,First Semester,BUS401,Strategic Management,3,Compulsory,BUS301,Management
Faculty of Management and Social Sciences,Business Administration,400,First Semester,BUS403,Corporate Governance,3,Compulsory,BUS201,Corporate Management
Faculty of Management and Social Sciences,Business Administration,400,First Semester,BUS405,Business Ethics,2,Compulsory,None,Business Ethics
Faculty of Management and Social Sciences,Business Administration,400,First Semester,BUS407,International Marketing,3,Elective,BUS207,Marketing
Faculty of Management and Social Sciences,Business Administration,400,First Semester,BUS409,Leadership and Organizational Change,3,Compulsory,BUS301,Leadership
Faculty of Management and Social Sciences,Business Administration,400,First Semester,BUS411,Business Seminar,2,Compulsory,BUS307,Research
Faculty of Management and Social Sciences,Business Administration,400,First Semester,BUS413,Industrial Attachment Report,2,Compulsory,None,Industrial Training

Faculty of Management and Social Sciences,Business Administration,400,Second Semester,BUS402,Business Policy and Strategy,3,Compulsory,BUS401,Management
Faculty of Management and Social Sciences,Business Administration,400,Second Semester,BUS404,Business Administration Project,6,Compulsory,BUS307,Research
Faculty of Management and Social Sciences,Business Administration,400,Second Semester,BUS406,Industrial Attachment Report and Seminar,2,Compulsory,None,Industrial Training
Faculty of Management and Social Sciences,Business Administration,400,Second Semester,BUS408,Contemporary Issues in Business,2,Elective,BUS401,Management
Faculty of Management and Social Sciences,Business Administration,400,Second Semester,BUS410,Innovation and Business Development,2,Elective,BUS302,Entrepreneurship
Faculty of Management and Social Sciences,Business Administration,400,Second Semester,BUS412,Project Defense and Presentation,2,Compulsory,BUS404,Research
Faculty of Management and Social Sciences,Business Administration,400,Second Semester,BUS414,Business Consultancy and Advisory Services,3,Elective,BUS401,Management

Faculty of Management and Social Sciences,Accounting,100,First Semester,ACC101,Principles of Accounting I,3,Compulsory,None,Accounting
Faculty of Management and Social Sciences,Accounting,100,First Semester,ECO101,Principles of Economics,3,Compulsory,None,Economics
Faculty of Management and Social Sciences,Accounting,100,First Semester,MTH101,Business Mathematics I,3,Compulsory,None,Mathematics
Faculty of Management and Social Sciences,Accounting,100,First Semester,BUS101,Introduction to Business,3,Compulsory,None,Management
Faculty of Management and Social Sciences,Accounting,100,First Semester,ACC103,Introduction to Bookkeeping,2,Compulsory,None,Accounting
Faculty of Management and Social Sciences,Accounting,100,First Semester,GST101,Use of English I,2,Compulsory,None,General Studies
Faculty of Management and Social Sciences,Accounting,100,First Semester,GST103,Nigerian Peoples and Culture,2,Compulsory,None,General Studies

Faculty of Management and Social Sciences,Accounting,100,Second Semester,ACC102,Principles of Accounting II,3,Compulsory,ACC101,Accounting
Faculty of Management and Social Sciences,Accounting,100,Second Semester,ECO102,Microeconomics,3,Compulsory,ECO101,Economics
Faculty of Management and Social Sciences,Accounting,100,Second Semester,MTH102,Business Mathematics II,3,Compulsory,MTH101,Mathematics
Faculty of Management and Social Sciences,Accounting,100,Second Semester,BUS102,Business Communication,3,Compulsory,BUS101,Management
Faculty of Management and Social Sciences,Accounting,100,Second Semester,ACC104,Introduction to Cost Accounting,2,Compulsory,ACC103,Accounting
Faculty of Management and Social Sciences,Accounting,100,Second Semester,GST102,Use of English II,2,Compulsory,GST101,General Studies
Faculty of Management and Social Sciences,Accounting,100,Second Semester,GST104,Logic Philosophy and Human Existence,2,Compulsory,None,General Studies

Faculty of Management and Social Sciences,Accounting,200,First Semester,ACC201,Financial Accounting I,3,Compulsory,ACC102,Accounting
Faculty of Management and Social Sciences,Accounting,200,First Semester,ACC203,Business Statistics,3,Compulsory,MTH102,Statistics
Faculty of Management and Social Sciences,Accounting,200,First Semester,ACC205,Business Law,3,Compulsory,BUS101,Business Law
Faculty of Management and Social Sciences,Accounting,200,First Semester,ACC207,Public Sector Accounting I,3,Compulsory,ACC102,Public Accounting
Faculty of Management and Social Sciences,Accounting,200,First Semester,ACC209,Cost Accounting I,3,Compulsory,ACC104,Cost Accounting
Faculty of Management and Social Sciences,Accounting,200,First Semester,ECO201,Microeconomics,3,Compulsory,ECO102,Economics
Faculty of Management and Social Sciences,Accounting,200,First Semester,GST201,Entrepreneurship Studies I,2,Compulsory,None,Entrepreneurship

Faculty of Management and Social Sciences,Accounting,200,Second Semester,ACC202,Management Accounting,3,Compulsory,ACC201,Accounting
Faculty of Management and Social Sciences,Accounting,200,Second Semester,ACC204,Financial Accounting II,3,Compulsory,ACC201,Accounting
Faculty of Management and Social Sciences,Accounting,200,Second Semester,ACC206,Accounting Information Systems,3,Compulsory,ACC201,Information Systems
Faculty of Management and Social Sciences,Accounting,200,Second Semester,ACC208,Commercial Law,3,Compulsory,ACC205,Business Law
Faculty of Management and Social Sciences,Accounting,200,Second Semester,ACC210,Cost Accounting II,3,Compulsory,ACC209,Cost Accounting
Faculty of Management and Social Sciences,Accounting,200,Second Semester,ECO202,Macroeconomics,3,Compulsory,ECO201,Economics
Faculty of Management and Social Sciences,Accounting,200,Second Semester,GST202,Entrepreneurship Studies II,2,Compulsory,GST201,Entrepreneurship

Faculty of Management and Social Sciences,Accounting,300,First Semester,ACC301,Cost Accounting,3,Compulsory,ACC202,Accounting
Faculty of Management and Social Sciences,Accounting,300,First Semester,ACC303,Advanced Financial Accounting I,3,Compulsory,ACC204,Accounting
Faculty of Management and Social Sciences,Accounting,300,First Semester,ACC305,Public Sector Accounting II,3,Compulsory,ACC207,Public Accounting
Faculty of Management and Social Sciences,Accounting,300,First Semester,ACC307,Research Methods in Accounting,2,Compulsory,None,Research
Faculty of Management and Social Sciences,Accounting,300,First Semester,ACC309,Corporate Reporting,3,Compulsory,ACC204,Accounting
Faculty of Management and Social Sciences,Accounting,300,First Semester,ACC311,Auditing I,3,Compulsory,ACC204,Auditing
Faculty of Management and Social Sciences,Accounting,300,First Semester,ACC313,Financial Management,3,Compulsory,ACC202,Finance

Faculty of Management and Social Sciences,Accounting,300,Second Semester,ACC302,Taxation,3,Compulsory,ACC301,Taxation
Faculty of Management and Social Sciences,Accounting,300,Second Semester,ACC304,Advanced Financial Accounting II,3,Compulsory,ACC303,Accounting
Faculty of Management and Social Sciences,Accounting,300,Second Semester,ACC306,Management Information Systems,3,Compulsory,ACC206,Information Systems
Faculty of Management and Social Sciences,Accounting,300,Second Semester,ACC308,Accounting Theory,3,Compulsory,ACC301,Accounting
Faculty of Management and Social Sciences,Accounting,300,Second Semester,ACC310,Industrial Training Seminar,1,Compulsory,None,Industrial Training
Faculty of Management and Social Sciences,Accounting,300,Second Semester,ACC312,Auditing II,3,Compulsory,ACC311,Auditing
Faculty of Management and Social Sciences,Accounting,300,Second Semester,ACC314,Forensic Accounting,3,Compulsory,ACC303,Forensic Accounting

Faculty of Management and Social Sciences,Accounting,400,First Semester,ACC401,Auditing and Investigation,3,Compulsory,ACC311,Auditing
Faculty of Management and Social Sciences,Accounting,400,First Semester,ACC403,Advanced Auditing,3,Compulsory,ACC401,Auditing
Faculty of Management and Social Sciences,Accounting,400,First Semester,ACC405,Forensic Accounting,3,Compulsory,ACC314,Forensic Accounting
Faculty of Management and Social Sciences,Accounting,400,First Semester,ACC407,Financial Management,3,Compulsory,ACC313,Finance
Faculty of Management and Social Sciences,Accounting,400,First Semester,ACC409,Professional Ethics in Accounting,2,Compulsory,None,Professional Ethics
Faculty of Management and Social Sciences,Accounting,400,First Semester,ACC411,Accounting Seminar,2,Compulsory,ACC307,Research
Faculty of Management and Social Sciences,Accounting,400,First Semester,ACC413,Industrial Attachment Report,2,Compulsory,None,Industrial Training

Faculty of Management and Social Sciences,Accounting,400,Second Semester,ACC402,Accounting Project,6,Compulsory,ACC307,Research
Faculty of Management and Social Sciences,Accounting,400,Second Semester,ACC404,Corporate Finance,3,Compulsory,ACC407,Finance
Faculty of Management and Social Sciences,Accounting,400,Second Semester,ACC406,Industrial Attachment Report and Seminar,2,Compulsory,None,Industrial Training
Faculty of Management and Social Sciences,Accounting,400,Second Semester,ACC408,Contemporary Issues in Accounting,2,Elective,ACC401,Accounting
Faculty of Management and Social Sciences,Accounting,400,Second Semester,ACC410,International Accounting,3,Elective,ACC303,Accounting
Faculty of Management and Social Sciences,Accounting,400,Second Semester,ACC412,Project Defense and Presentation,2,Compulsory,ACC402,Research
Faculty of Management and Social Sciences,Accounting,400,Second Semester,ACC414,Accounting Standards and Regulations,3,Compulsory,ACC309,Accounting

Faculty of Management and Social Sciences,Economics,100,First Semester,ECO101,Principles of Economics,3,Compulsory,None,Economics
Faculty of Management and Social Sciences,Economics,100,First Semester,MTH101,Mathematics for Economists I,3,Compulsory,None,Mathematics
Faculty of Management and Social Sciences,Economics,100,First Semester,ACC101,Principles of Accounting I,3,Compulsory,None,Accounting
